srr	rc	offset	p	fdr
SRR1758407	28	12	4.63495416422292e-32	9.58994087788028e-31
SRR1585553	29	14	7.64520533691613e-32	1.5764672564224e-30
SRR1528693	28	12	1.02407834874543e-31	2.10455020115489e-30
SRR1257225	28	12	1.06549971485552e-31	2.18230126783371e-30
SRR1585503	29	14	1.10330100463166e-31	2.25214094334711e-30
SRR1585532	29	14	1.13701320538144e-31	2.3131944241924e-30
SRR1585539	29	14	1.23399149826016e-31	2.50212342797219e-30
SRR2873533	27	12	1.42275147795796e-31	2.87528147522201e-30
SRR1173913	29	12	1.56725217005707e-31	3.15681952001892e-30
SRR1916546	29	12	1.81794194850373e-31	3.64968345635254e-30
SRR1585526	29	14	1.86733919919455e-31	3.73652116733567e-30
SRR1535545	28	12	1.93952597381885e-31	3.86824147499673e-30
SRR1257239	29	12	2.89332938183123e-31	5.75167406198671e-30
SRR1257262	29	12	3.23028995749651e-31	6.40060384737827e-30
SRR627626	30	12	3.27736817508062e-31	6.47280214578423e-30
SRR1610255	29	12	3.8440596083185e-31	7.56744808977392e-30
SRR1585535	31	12	6.69423869036528e-31	1.31358238559652e-29
SRR1610246	26	12	7.51064677836787e-31	1.46904386986533e-29
SRR4293696	26	12	7.58653854296255e-31	1.47913185759106e-29
SRR1257243	29	12	7.83435794670576e-31	1.522568670601e-29
SRR1585496	29	14	8.59182261578812e-31	1.6644604131159e-29
SRR1976443	30	12	1.07348474153487e-30	2.07301831198623e-29
SRR1916551	29	12	1.26879152436099e-30	2.4424236843949e-29
SRR1585507	29	14	1.37546310310198e-30	2.63941389784522e-29
SRR1257230	29	12	1.40504041634815e-30	2.68769209202699e-29
SRR1528692	28	12	1.61213092068219e-30	3.07416689357674e-29
SRR4293693	28	12	1.8324190185336e-30	3.48331402804372e-29
SRR1257242	28	12	2.16566493704988e-30	4.10396878880823e-29
SRR1585545	28	14	2.23973493019936e-30	4.23115142248532e-29
SRR1257246	29	12	2.28261425612653e-30	4.2988057337516e-29
SRR1610248	26	12	4.30392660097957e-30	8.08048935609837e-29
SRR1585510	31	12	6.29456673388225e-30	1.17814921360633e-28
SRR1257246	28	12	6.69244669757851e-30	1.24877770740399e-28
SRR1257238	28	12	6.7337486549114e-30	1.25264198984178e-28
SRR1585491	29	14	9.11091494382839e-30	1.68968584156427e-28
SRR1257247	29	12	9.45749628544139e-30	1.74863069618055e-28
SRR3317844	29	12	9.71843501560072e-30	1.79143152120907e-28
SRR1585518	29	14	9.74960342645477e-30	1.79143459380302e-28
SRR2873530	30	12	9.77735139146148e-30	1.79143459380302e-28
SRR3317844	28	12	1.45989239159712e-29	2.66682444987546e-28
SRR1585530	29	14	1.5711510477807e-29	2.86147060588324e-28
SRR1257260	29	12	1.57951336410246e-29	2.86811337129411e-28
SRR1585490	29	14	2.57311409669381e-29	4.65840864588941e-28
SRR3317843	30	12	4.18715609436757e-29	7.53816426495776e-28
SRR2874125	30	12	4.18855749063903e-29	7.53816426495776e-28
SRR1610256	29	12	4.57882042209567e-29	8.21621375445662e-28
SRR3306588	30	12	4.60111169262828e-29	8.23193012536996e-28
SRR1585496	31	12	5.93188034789969e-29	1.05817091367372e-27
SRR1916547	30	12	6.47581442420625e-29	1.15182395153353e-27
SRR1535541	29	12	6.76305942360094e-29	1.19940788553249e-27
SRR1585511	29	14	9.42073336750143e-29	1.66588142658463e-27
SRR1585542	31	12	9.96488602959096e-29	1.75699715124643e-27
SRR1758392	29	12	1.15355564201828e-28	2.02805750589514e-27
SRR1758410	28	12	1.23739809375772e-28	2.16919095225597e-27
SRR1535535	28	12	1.52598775501786e-28	2.66740905568208e-27
SRR1257256	29	12	1.55085972648176e-28	2.7031173971887e-27
SRR1585505	29	14	1.64082209699288e-28	2.84387669846277e-27
SRR1585536	28	14	1.64096781384257e-28	2.84387669846277e-27
SRR2873531	27	12	1.76012860140528e-28	3.04172223930351e-27
SRR1585543	28	14	1.78262696297765e-28	3.07187530192438e-27
SRR1610249	26	12	1.79582021201343e-28	3.08586846036093e-27
SRR1585556	26	14	2.21296479068628e-28	3.7919619216182e-27
SRR1585523	29	14	2.48068726159272e-28	4.23876983490689e-27
SRR2433794	26	12	2.87469565646121e-28	4.89825593228391e-27
SRR2874126	30	12	2.91501350378353e-28	4.95308020768581e-27
SRR2064450	29	12	3.70332490902393e-28	6.27502100880016e-27
SRR1585513	29	14	4.52852935942283e-28	7.65195669260252e-27
SRR1257234	28	12	4.73274921584925e-28	7.97487908033545e-27
SRR3306589	30	12	5.35345923422561e-28	8.99588191209789e-27
SRR1585554	29	14	6.28258320760024e-28	1.05280864054634e-26
SRR1585549	29	14	6.55717549897791e-28	1.09580490550227e-26
SRR2873531	30	12	7.1343605729845e-28	1.18899494151958e-26
SRR3306583	30	12	7.38609444036718e-28	1.22758504045775e-26
SRR1528691	30	12	7.67387337182362e-28	1.27193928394559e-26
SRR1976443	29	12	9.95019352367955e-28	1.64475617403649e-26
SRR1916546	30	12	1.24328433911761e-27	2.04956602570526e-26
SRR1758406	29	12	1.25171139291827e-27	2.05788119003293e-26
SRR1535536	29	12	2.15596996878623e-27	3.53497717523629e-26
SRR1257252	29	12	2.46142616540443e-27	4.02496111939654e-26
